blue_id;blue_name;component_id;component_qty;component_volume;component_name;component_code;component_tier;component_size;component_type;matres_id;matres_qty;matres_code;matres_name;matres_type;matres_group;matres_color;matres_volume;ref_output_min;ref_output_max;ref_input_matres_id;ref_input_matres_qty;ref_duration;ref_credits;matres_input_code;matres_input_name;matres_input_type;matres_input_group;matres_input_color;matres_input_volume;min_duration;min_extraction;min_credits;planet_names
3;T-35 FE;39;0;59;Aquadan Oxygen Tank;com4;1;;structures;96;6;RmCO2;Regular CO2;Material;Side;#999999;1;1;1;104;10;18000;500;POo1;Paraffin oil;Ore;Oil;#742222;14;14400;10;160;HOM-11, GAEA-21, MEB-2, NYX-1
3;T-35 FE;128;0;149;Molecular Air supply System;com93;3;;mechanisms;96;8;RmCO2;Regular CO2;Material;Side;#999999;1;1;1;104;10;18000;500;POo1;Paraffin oil;Ore;Oil;#742222;14;14400;10;160;HOM-11, GAEA-21, MEB-2, NYX-1
3;T-35 FE;39;0;59;Aquadan Oxygen Tank;com4;1;;structures;96;6;RmCO2;Regular CO2;Material;Side;#999999;1;1;2;117;10;30000;800;KGo14;Krypton gas;Ore;Gas;#a89a73;17;26400;10;300;CETO-2
3;T-35 FE;128;0;149;Molecular Air supply System;com93;3;;mechanisms;96;8;RmCO2;Regular CO2;Material;Side;#999999;1;1;2;117;10;30000;800;KGo14;Krypton gas;Ore;Gas;#a89a73;17;26400;10;300;CETO-2
3;T-35 FE;39;0;59;Aquadan Oxygen Tank;com4;1;;structures;96;6;RmCO2;Regular CO2;Material;Side;#999999;1;1;1;126;10;18000;380;SOo23;Scandium ore;Ore;Metal;#85a1bb;13;27600;20;200;GAEA-22, HAS-15, HEBO-12, TIHO-1, CETO-2, MEB-2
3;T-35 FE;128;0;149;Molecular Air supply System;com93;3;;mechanisms;96;8;RmCO2;Regular CO2;Material;Side;#999999;1;1;1;126;10;18000;380;SOo23;Scandium ore;Ore;Metal;#85a1bb;13;27600;20;200;GAEA-22, HAS-15, HEBO-12, TIHO-1, CETO-2, MEB-2
3;T-35 FE;39;0;59;Aquadan Oxygen Tank;com4;1;;structures;96;6;RmCO2;Regular CO2;Material;Side;#999999;1;1;2;129;10;43200;900;ZOo26;Zinc ore;Ore;Metal;#85a1bb;16;25200;10;300;TIHO-1, CETO-2, MEB-2
3;T-35 FE;128;0;149;Molecular Air supply System;com93;3;;mechanisms;96;8;RmCO2;Regular CO2;Material;Side;#999999;1;1;2;129;10;43200;900;ZOo26;Zinc ore;Ore;Metal;#85a1bb;16;25200;10;300;TIHO-1, CETO-2, MEB-2
3;T-35 FE;40;0;97;Molecular Oxygen Tank;com5;2;;structures;96;8;RmCO2;Regular CO2;Material;Side;#999999;1;1;1;104;10;18000;500;POo1;Paraffin oil;Ore;Oil;#742222;14;14400;10;160;HOM-11, GAEA-21, MEB-2, NYX-1
3;T-35 FE;40;0;97;Molecular Oxygen Tank;com5;2;;structures;96;8;RmCO2;Regular CO2;Material;Side;#999999;1;1;2;117;10;30000;800;KGo14;Krypton gas;Ore;Gas;#a89a73;17;26400;10;300;CETO-2
3;T-35 FE;40;0;97;Molecular Oxygen Tank;com5;2;;structures;96;8;RmCO2;Regular CO2;Material;Side;#999999;1;1;1;126;10;18000;380;SOo23;Scandium ore;Ore;Metal;#85a1bb;13;27600;20;200;GAEA-22, HAS-15, HEBO-12, TIHO-1, CETO-2, MEB-2
3;T-35 FE;40;0;97;Molecular Oxygen Tank;com5;2;;structures;96;8;RmCO2;Regular CO2;Material;Side;#999999;1;1;2;129;10;43200;900;ZOo26;Zinc ore;Ore;Metal;#85a1bb;16;25200;10;300;TIHO-1, CETO-2, MEB-2
3;T-35 FE;40;0;97;Molecular Oxygen Tank;com5;2;;structures;38;8;PAm38;Paraffins;Material;Oil;#742222;5;4;5;104;10;18000;500;POo1;Paraffin oil;Ore;Oil;#742222;14;14400;10;160;HOM-11, GAEA-21, MEB-2, NYX-1
3;T-35 FE;40;0;97;Molecular Oxygen Tank;com5;2;;structures;38;8;PAm38;Paraffins;Material;Oil;#742222;5;2;3;106;10;36000;800;AOo3;Alkali oil;Ore;Oil;#742222;18;24000;10;440;NEX-3
3;T-35 FE;39;0;59;Aquadan Oxygen Tank;com4;1;;structures;48;4;OXm48;Oxygen;Material;Gas;#a89a73;4;4;5;115;10;15000;350;OGo12;Oxygen gas;Ore;Gas;#a89a73;10;12000;10;200;HOM-11, HOM-14, HEBO-12, HEBO-18
3;T-35 FE;39;0;59;Aquadan Oxygen Tank;com4;1;;structures;48;4;OXm48;Oxygen;Material;Gas;#a89a73;4;2;3;117;10;30000;800;KGo14;Krypton gas;Ore;Gas;#a89a73;17;26400;10;300;CETO-2
3;T-35 FE;40;0;97;Molecular Oxygen Tank;com5;2;;structures;48;12;OXm48;Oxygen;Material;Gas;#a89a73;4;4;5;115;10;15000;350;OGo12;Oxygen gas;Ore;Gas;#a89a73;10;12000;10;200;HOM-11, HOM-14, HEBO-12, HEBO-18
3;T-35 FE;40;0;97;Molecular Oxygen Tank;com5;2;;structures;48;12;OXm48;Oxygen;Material;Gas;#a89a73;4;2;3;117;10;30000;800;KGo14;Krypton gas;Ore;Gas;#a89a73;17;26400;10;300;CETO-2
3;T-35 FE;39;0;59;Aquadan Oxygen Tank;com4;1;;structures;56;5;TIm56;Tin;Material;Metal;#85a1bb;4;4;5;124;10;21000;350;TOo21;Tin ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, GAEA-21, HIP-32, HAS-15, HEBO-12, CETO-2
3;T-35 FE;39;0;59;Aquadan Oxygen Tank;com4;1;;structures;56;5;TIm56;Tin;Material;Metal;#85a1bb;4;2;3;129;10;43200;900;ZOo26;Zinc ore;Ore;Metal;#85a1bb;16;25200;10;300;TIHO-1, CETO-2, MEB-2
3;T-35 FE;39;0;59;Aquadan Oxygen Tank;com4;1;;structures;58;10;STm58;Scandium;Material;Metal;#85a1bb;3;4;5;126;10;18000;380;SOo23;Scandium ore;Ore;Metal;#85a1bb;13;27600;20;200;GAEA-22, HAS-15, HEBO-12, TIHO-1, CETO-2, MEB-2
3;T-35 FE;39;0;59;Aquadan Oxygen Tank;com4;1;;structures;58;10;STm58;Scandium;Material;Metal;#85a1bb;3;2;3;131;10;36000;1050;TOo28;Titanium ore;Ore;Metal;#85a1bb;14;25200;10;300;HOM-11, GAEA-21, GAEA-22
3;T-35 FE;128;0;149;Molecular Air supply System;com93;3;;mechanisms;4;5;DI4;Diamonds;Mineral;Gem;#cc41cc;9;;;;;;;;;;;;;19200;1;650;HOM-11, HIP-32
3;T-35 FE;129;0;70;Cybernetic Star Navigation System;com94;1;;mechanisms;15;4;KA15;Kariya crystals;Mineral;Crystal;#6d2c99;7;;;;;;;;;;;;;12000;1;500;HOM-11, HEBO-18, CETO-2, MEB-2
3;T-35 FE;129;0;70;Cybernetic Star Navigation System;com94;1;;mechanisms;18;2;TH18;Thorite crystals;Mineral;Crystal;#6d2c99;9;;;;;;;;;;;;;16800;1;600;TIHO-1, CETO-2
3;T-35 FE;129;0;70;Cybernetic Star Navigation System;com94;1;;mechanisms;59;8;COm59;Copper;Material;Metal;#85a1bb;4;4;5;127;10;12000;450;COo24;Copper ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, HEBO-18, MEB-2, NEX-3, NYX-1, NIX-2
3;T-35 FE;129;0;70;Cybernetic Star Navigation System;com94;1;;mechanisms;100;4;SDm1;Star Dust;Material;Side;#999999;1;1;1;83;10;21000;550;WOo51;Water organic;Ore;Nature resource;#659c4d;8;36000;2;100;HOM-14
3;T-35 FE;129;0;70;Cybernetic Star Navigation System;com94;1;;mechanisms;100;4;SDm1;Star Dust;Material;Side;#999999;1;1;1;105;10;21000;500;POo2;Polymer oil;Ore;Oil;#742222;13;14400;10;160;HIP-32, TIHO-1, MEB-2, NIX-2
3;T-35 FE;129;0;70;Cybernetic Star Navigation System;com94;1;;mechanisms;100;4;SDm1;Star Dust;Material;Side;#999999;1;1;1;115;10;15000;350;OGo12;Oxygen gas;Ore;Gas;#a89a73;10;12000;10;200;HOM-11, HOM-14, HEBO-12, HEBO-18
3;T-35 FE;129;0;70;Cybernetic Star Navigation System;com94;1;;mechanisms;100;4;SDm1;Star Dust;Material;Side;#999999;1;1;1;124;10;21000;350;TOo21;Tin ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, GAEA-21, HIP-32, HAS-15, HEBO-12, CETO-2
3;T-35 FE;129;0;70;Cybernetic Star Navigation System;com94;1;;mechanisms;100;4;SDm1;Star Dust;Material;Side;#999999;1;1;1;127;10;12000;450;COo24;Copper ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, HEBO-18, MEB-2, NEX-3, NYX-1, NIX-2
3;T-35 FE;128;0;149;Molecular Air supply System;com93;3;;mechanisms;49;6;NIm49;Nitrogen;Material;Gas;#a89a73;5;2;3;116;10;30000;750;NGo13;Nitrogen gas;Ore;Gas;#a89a73;14;26400;10;300;CETO-2
3;T-35 FE;128;0;149;Molecular Air supply System;com93;3;;mechanisms;50;10;KRm50;Krypton;Material;Gas;#a89a73;6;2;3;117;10;30000;800;KGo14;Krypton gas;Ore;Gas;#a89a73;17;26400;10;300;CETO-2
3;T-35 FE;40;0;97;Molecular Oxygen Tank;com5;2;;structures;60;5;ALm60;Aluminum;Material;Metal;#85a1bb;4;4;5;128;10;13800;420;AOo25;Aluminum ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, GAEA-21, HIP-32, HEBO-12, NEX-3
3;T-35 FE;128;0;149;Molecular Air supply System;com93;3;;mechanisms;63;6;TIm63;Titanium;Material;Metal;#85a1bb;5;2;3;131;10;36000;1050;TOo28;Titanium ore;Ore;Metal;#85a1bb;14;25200;10;300;HOM-11, GAEA-21, GAEA-22
3;T-35 FE;125;0;154;Antimatter Fuel System;com90;3;;mechanisms;98;11;LmCO2;Liquid CO2;Material;Side;#999999;1;1;1;80;10;3000;150;LOo48;Lumber organic;Ore;Nature resource;#659c4d;3;14400;100;250;HOM-14
3;T-35 FE;125;0;154;Antimatter Fuel System;com90;3;;mechanisms;98;11;LmCO2;Liquid CO2;Material;Side;#999999;1;1;2;106;10;36000;800;AOo3;Alkali oil;Ore;Oil;#742222;18;24000;10;440;NEX-3
3;T-35 FE;125;0;154;Antimatter Fuel System;com90;3;;mechanisms;98;11;LmCO2;Liquid CO2;Material;Side;#999999;1;1;1;115;10;15000;350;OGo12;Oxygen gas;Ore;Gas;#a89a73;10;12000;10;200;HOM-11, HOM-14, HEBO-12, HEBO-18
3;T-35 FE;125;0;154;Antimatter Fuel System;com90;3;;mechanisms;98;11;LmCO2;Liquid CO2;Material;Side;#999999;1;1;1;125;10;15000;400;IOo22;Iron ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-11, GAEA-21, HEBO-12, HEBO-18, NEX-3, NYX-1
3;T-35 FE;125;0;154;Antimatter Fuel System;com90;3;;mechanisms;98;11;LmCO2;Liquid CO2;Material;Side;#999999;1;1;1;128;10;13800;420;AOo25;Aluminum ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, GAEA-21, HIP-32, HEBO-12, NEX-3
3;T-35 FE;125;0;154;Antimatter Fuel System;com90;3;;mechanisms;61;10;ZIm61;Zinc;Material;Metal;#85a1bb;5;2;3;129;10;43200;900;ZOo26;Zinc ore;Ore;Metal;#85a1bb;16;25200;10;300;TIHO-1, CETO-2, MEB-2
3;T-35 FE;125;0;154;Antimatter Fuel System;com90;3;;mechanisms;48;12;OXm48;Oxygen;Material;Gas;#a89a73;4;4;5;115;10;15000;350;OGo12;Oxygen gas;Ore;Gas;#a89a73;10;12000;10;200;HOM-11, HOM-14, HEBO-12, HEBO-18
3;T-35 FE;125;0;154;Antimatter Fuel System;com90;3;;mechanisms;48;12;OXm48;Oxygen;Material;Gas;#a89a73;4;2;3;117;10;30000;800;KGo14;Krypton gas;Ore;Gas;#a89a73;17;26400;10;300;CETO-2
3;T-35 FE;125;0;154;Antimatter Fuel System;com90;3;;mechanisms;40;11;ALm40;Alkali;Material;Oil;#742222;5;2;3;106;10;36000;800;AOo3;Alkali oil;Ore;Oil;#742222;18;24000;10;440;NEX-3
3;T-35 FE;125;0;154;Antimatter Fuel System;com90;3;;mechanisms;18;2;TH18;Thorite crystals;Mineral;Crystal;#6d2c99;9;;;;;;;;;;;;;16800;1;600;TIHO-1, CETO-2
3;T-35 FE;91;0;77;Energetic Heater Panel;com56;2;;electronics;17;3;RE17;Reberite crystals;Mineral;Crystal;#6d2c99;7;;;;;;;;;;;;;12000;1;500;HOM-14, HEBO-12, CETO-2, MEB-2
3;T-35 FE;91;0;77;Energetic Heater Panel;com56;2;;electronics;57;8;IRm57;Iron;Material;Metal;#85a1bb;4;4;5;125;10;15000;400;IOo22;Iron ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-11, GAEA-21, HEBO-12, HEBO-18, NEX-3, NYX-1
3;T-35 FE;91;0;77;Energetic Heater Panel;com56;2;;electronics;57;8;IRm57;Iron;Material;Metal;#85a1bb;4;2;3;130;10;40800;900;NOo27;Nickel ore;Ore;Metal;#85a1bb;16;25200;10;300;NEX-3, NYX-1, NIX-2
3;T-35 FE;91;0;77;Energetic Heater Panel;com56;2;;electronics;60;8;ALm60;Aluminum;Material;Metal;#85a1bb;4;4;5;128;10;13800;420;AOo25;Aluminum ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, GAEA-21, HIP-32, HEBO-12, NEX-3
3;T-35 FE;91;0;77;Energetic Heater Panel;com56;2;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;1;83;10;21000;550;WOo51;Water organic;Ore;Nature resource;#659c4d;8;36000;2;100;HOM-14
3;T-35 FE;91;0;77;Energetic Heater Panel;com56;2;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;1;105;10;21000;500;POo2;Polymer oil;Ore;Oil;#742222;13;14400;10;160;HIP-32, TIHO-1, MEB-2, NIX-2
3;T-35 FE;91;0;77;Energetic Heater Panel;com56;2;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;1;114;10;16800;300;HGo11;Hydrogen gas;Ore;Gas;#a89a73;10;12000;10;200;GAEA-22, HEBO-12, HEBO-18, NYX-1
3;T-35 FE;91;0;77;Energetic Heater Panel;com56;2;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;1;124;10;21000;350;TOo21;Tin ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, GAEA-21, HIP-32, HAS-15, HEBO-12, CETO-2
3;T-35 FE;91;0;77;Energetic Heater Panel;com56;2;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;1;127;10;12000;450;COo24;Copper ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, HEBO-18, MEB-2, NEX-3, NYX-1, NIX-2
3;T-35 FE;91;0;77;Energetic Heater Panel;com56;2;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;2;131;10;36000;1050;TOo28;Titanium ore;Ore;Metal;#85a1bb;14;25200;10;300;HOM-11, GAEA-21, GAEA-22
3;T-35 FE;90;0;77;Aeonic Heater Panel;com55;1;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;1;83;10;21000;550;WOo51;Water organic;Ore;Nature resource;#659c4d;8;36000;2;100;HOM-14
3;T-35 FE;90;0;77;Aeonic Heater Panel;com55;1;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;1;105;10;21000;500;POo2;Polymer oil;Ore;Oil;#742222;13;14400;10;160;HIP-32, TIHO-1, MEB-2, NIX-2
3;T-35 FE;90;0;77;Aeonic Heater Panel;com55;1;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;1;114;10;16800;300;HGo11;Hydrogen gas;Ore;Gas;#a89a73;10;12000;10;200;GAEA-22, HEBO-12, HEBO-18, NYX-1
3;T-35 FE;90;0;77;Aeonic Heater Panel;com55;1;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;1;124;10;21000;350;TOo21;Tin ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, GAEA-21, HIP-32, HAS-15, HEBO-12, CETO-2
3;T-35 FE;90;0;77;Aeonic Heater Panel;com55;1;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;1;127;10;12000;450;COo24;Copper ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, HEBO-18, MEB-2, NEX-3, NYX-1, NIX-2
3;T-35 FE;90;0;77;Aeonic Heater Panel;com55;1;;electronics;97;6;SmCO2;Solid CO2;Material;Side;#999999;1;1;2;131;10;36000;1050;TOo28;Titanium ore;Ore;Metal;#85a1bb;14;25200;10;300;HOM-11, GAEA-21, GAEA-22
3;T-35 FE;90;0;77;Aeonic Heater Panel;com55;1;;electronics;59;6;COm59;Copper;Material;Metal;#85a1bb;4;4;5;127;10;12000;450;COo24;Copper ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, HEBO-18, MEB-2, NEX-3, NYX-1, NIX-2
3;T-35 FE;90;0;77;Aeonic Heater Panel;com55;1;;electronics;56;12;TIm56;Tin;Material;Metal;#85a1bb;4;4;5;124;10;21000;350;TOo21;Tin ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, GAEA-21, HIP-32, HAS-15, HEBO-12, CETO-2
3;T-35 FE;90;0;77;Aeonic Heater Panel;com55;1;;electronics;56;12;TIm56;Tin;Material;Metal;#85a1bb;4;2;3;129;10;43200;900;ZOo26;Zinc ore;Ore;Metal;#85a1bb;16;25200;10;300;TIHO-1, CETO-2, MEB-2
3;T-35 FE;90;0;77;Aeonic Heater Panel;com55;1;;electronics;15;2;KA15;Kariya crystals;Mineral;Crystal;#6d2c99;7;;;;;;;;;;;;;12000;1;500;HOM-11, HEBO-18, CETO-2, MEB-2
3;T-35 FE;46;0;77;Superplastic Wing;com11;2;;structures;15;2;KA15;Kariya crystals;Mineral;Crystal;#6d2c99;7;;;;;;;;;;;;;12000;1;500;HOM-11, HEBO-18, CETO-2, MEB-2
3;T-35 FE;46;0;77;Superplastic Wing;com11;2;;structures;39;12;POm39;Polymers;Material;Oil;#742222;3;4;5;105;10;21000;500;POo2;Polymer oil;Ore;Oil;#742222;13;14400;10;160;HIP-32, TIHO-1, MEB-2, NIX-2
3;T-35 FE;46;0;77;Superplastic Wing;com11;2;;structures;39;12;POm39;Polymers;Material;Oil;#742222;3;2;3;107;10;36000;850;POo4;Polypropylene oil;Ore;Oil;#742222;14;24000;10;440;NEX-3
3;T-35 FE;46;0;77;Superplastic Wing;com11;2;;structures;58;12;STm58;Scandium;Material;Metal;#85a1bb;3;4;5;126;10;18000;380;SOo23;Scandium ore;Ore;Metal;#85a1bb;13;27600;20;200;GAEA-22, HAS-15, HEBO-12, TIHO-1, CETO-2, MEB-2
3;T-35 FE;46;0;77;Superplastic Wing;com11;2;;structures;58;12;STm58;Scandium;Material;Metal;#85a1bb;3;2;3;131;10;36000;1050;TOo28;Titanium ore;Ore;Metal;#85a1bb;14;25200;10;300;HOM-11, GAEA-21, GAEA-22
3;T-35 FE;46;0;77;Superplastic Wing;com11;2;;structures;101;8;MPm1;Matter particles;Material;Side;#999999;1;1;1;80;10;3000;150;LOo48;Lumber organic;Ore;Nature resource;#659c4d;3;14400;100;250;HOM-14
3;T-35 FE;46;0;77;Superplastic Wing;com11;2;;structures;101;8;MPm1;Matter particles;Material;Side;#999999;1;1;2;107;10;36000;850;POo4;Polypropylene oil;Ore;Oil;#742222;14;24000;10;440;NEX-3
3;T-35 FE;46;0;77;Superplastic Wing;com11;2;;structures;101;8;MPm1;Matter particles;Material;Side;#999999;1;1;2;116;10;30000;750;NGo13;Nitrogen gas;Ore;Gas;#a89a73;14;26400;10;300;CETO-2
3;T-35 FE;46;0;77;Superplastic Wing;com11;2;;structures;101;8;MPm1;Matter particles;Material;Side;#999999;1;1;1;125;10;15000;400;IOo22;Iron ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-11, GAEA-21, HEBO-12, HEBO-18, NEX-3, NYX-1
3;T-35 FE;46;0;77;Superplastic Wing;com11;2;;structures;101;8;MPm1;Matter particles;Material;Side;#999999;1;1;1;128;10;13800;420;AOo25;Aluminum ore;Ore;Metal;#85a1bb;14;27600;20;200;HOM-14, GAEA-21, HIP-32, HEBO-12, NEX-3
3;T-35 FE;120;0;90;Electrogenic Life Supporting System;com85;1;;mechanisms;96;7;RmCO2;Regular CO2;Material;Side;#999999;1;1;1;104;10;18000;500;POo1;Paraffin oil;Ore;Oil;#742222;14;14400;10;160;HOM-11, GAEA-21, MEB-2, NYX-1
3;T-35 FE;120;0;90;Electrogenic Life Supporting System;com85;1;;mechanisms;96;7;RmCO2;Regular CO2;Material;Side;#999999;1;1;2;117;10;30000;800;KGo14;Krypton gas;Ore;Gas;#a89a73;17;26400;10;300;CETO-2
3;T-35 FE;120;0;90;Electrogenic Life Supporting System;com85;1;;mechanisms;96;7;RmCO2;Regular CO2;Material;Side;#999999;1;1;1;126;10;18000;380;SOo23;Scandium ore;Ore;Metal;#85a1bb;13;27600;20;200;GAEA-22, HAS-15, HEBO-12, TIHO-1, CETO-2, MEB-2
3;T-35 FE;120;0;90;Electrogenic Life Supporting System;com85;1;;mechanisms;96;7;RmCO2;Regular CO2;Material;Side;#999999;1;1;2;129;10;43200;900;ZOo26;Zinc ore;Ore;Metal;#85a1bb;16;25200;10;300;TIHO-1, CETO-2, MEB-2
3;T-35 FE;120;0;90;Electrogenic Life Supporting System;com85;1;;mechanisms;154;2;WAm83;Water;Material;Nature resource;#659c4d;24;1;2;83;10;21000;550;WOo51;Water organic;Ore;Nature resource;#659c4d;8;36000;2;100;HOM-14
3;T-35 FE;120;0;90;Electrogenic Life Supporting System;com85;1;;mechanisms;48;15;OXm48;Oxygen;Material;Gas;#a89a73;4;4;5;115;10;15000;350;OGo12;Oxygen gas;Ore;Gas;#a89a73;10;12000;10;200;HOM-11, HOM-14, HEBO-12, HEBO-18
